ensembl_transcript_id	chrom	start	end	gene_symbol
ENST00000368706	1	153607534	153607536	S100A16
ENST00000368707	1	153561567	153561569	S100A2
ENST00000368708	1	153561439	153561441	S100A2
ENST00000368709	1	153561439	153561441	S100A2
ENST00000368710	1	153561439	153561441	S100A2
ENST00000368712	1	153547682	153547684	S100A3
ENST00000368713	1	153547682	153547684	S100A3
ENST00000368714	1	153543759	153543761	S100A4
ENST00000368715	1	153543759	153543761	S100A4
ENST00000368716	1	153543759	153543761	S100A4
ENST00000368717	1	153537296	153537298	S100A5
ENST00000368718	1	153537296	153537298	S100A5
ENST00000368719	1	153534696	153534698	S100A6
ENST00000368720	1	153534696	153534698	S100A6
ENST00000368721	10	125836687	125836689	DHX32
ENST00000368722	1	153457806	153457808	S100A7
ENST00000368723	1	153457806	153457808	S100A7
ENST00000368728	1	153419307	153419309	S100A7A
ENST00000368729	1	153419307	153419309	S100A7A
ENST00000368730	6	111559405	111559407	TRAF3IP2
ENST00000368732	1	153390103	153390105	S100A8
ENST00000368733	1	153390103	153390105	S100A8
ENST00000368734	6	111559405	111559407	TRAF3IP2
ENST00000368735	6	111559405	111559407	TRAF3IP2
ENST00000368737	1	153373827	153373829	S100A12
ENST00000368738	1	153360836	153360838	S100A9
ENST00000368739	1	153330767	153330769	PGLYRP4
ENST00000368742	1	153261886	153261888	LORICRIN
ENST00000368744	1	153218493	153218495	PRR9
ENST00000368747	1	153205002	153205004	LELP1
ENST00000368748	1	153149889	153149891	SPRR2G
ENST00000368750	1	153093533	153093535	SPRR2E
ENST00000368751	1	153093533	153093535	SPRR2E
ENST00000368755	1	153070621	153070623	SPRR2B
ENST00000368756	1	153040128	153040130	SPRR2D
ENST00000368757	1	153040128	153040130	SPRR2D
ENST00000368758	1	153040128	153040130	SPRR2D
ENST00000368759	10	125853241	125853243	BCCIP
ENST00000368761	6	111559405	111559407	TRAF3IP2
ENST00000368762	1	152985498	152985500	SPRR1A
ENST00000368764	1	152911553	152911555	IVL
ENST00000368765	1	152884771	152884773	SMCP
ENST00000368770	1	152787654	152787656	LCE1E
ENST00000368771	1	152787654	152787656	LCE1E
ENST00000368774	10	125807405	125807407	UROS
ENST00000368775	1	152720272	152720274	C1orf68
ENST00000368777	1	152709373	152709375	LCE4A
ENST00000368778	10	125802999	125803001	UROS
ENST00000368779	1	152699220	152699222	LCE2A
ENST00000368780	1	152687174	152687176	LCE2B
ENST00000368783	1	152676346	152676348	LCE2C
ENST00000368784	1	152664436	152664438	LCE2D
ENST00000368786	10	125788868	125788870	UROS
ENST00000368787	1	152579658	152579660	LCE3D
ENST00000368789	1	152565930	152565932	LCE3E
ENST00000368790	1	152515681	152515683	CRCT1
ENST00000368797	10	125788868	125788870	UROS
ENST00000368799	1	152302700	152302702	FLG
ENST00000368801	1	152213076	152213078	HRNR
ENST00000368802	6	111300016	111300018	REV3L
ENST00000368806	1	152084967	152084969	TCHHL1
ENST00000368808	10	125766662	125766664	MMP21
ENST00000368809	1	151983163	151983165	S100A10
ENST00000368811	1	151983163	151983165	S100A10
ENST00000368813	10	125741522	125741524	EDRF1
ENST00000368814	1	151874888	151874890	THEM4
ENST00000368815	10	125737944	125737946	EDRF1
ENST00000368817	1	151847371	151847373	THEM5
ENST00000368820	1	151800923	151800925	LINGO4
ENST00000368821	10	125655900	125655902	TEX36
ENST00000368822	1	151774452	151774454	TDRKH
ENST00000368823	1	151774452	151774454	TDRKH
ENST00000368824	1	151774452	151774454	TDRKH
ENST00000368825	1	151774452	151774454	TDRKH
ENST00000368827	1	151774452	151774454	TDRKH
ENST00000368829	1	151760050	151760052	MRPL9
ENST00000368830	1	151760050	151760052	MRPL9
ENST00000368836	10	124762300	124762301	EEF1AKMT2
ENST00000368836	10	124760503	124760503	EEF1AKMT2
ENST00000368838	1	151693610	151693612	SNX27
ENST00000368839	10	124613270	124613272	LHPP
ENST00000368841	1	151638903	151638905	SNX27
ENST00000368842	10	124613358	124613360	LHPP
ENST00000368843	1	151693599	151693601	SNX27
ENST00000368845	10	124397942	124397944	OAT
ENST00000368847	6	111265978	111265980	MFSD4B
ENST00000368848	1	151581705	151581707	TUFT1
ENST00000368849	1	151581705	151581707	TUFT1
ENST00000368850	6	111222233	111222235	SLC16A10
ENST00000368851	6	111222233	111222235	SLC16A10
ENST00000368858	10	123165054	123165056	BUB3
ENST00000368859	10	123165065	123165067	BUB3
ENST00000368863	1	151404802	151404804	POGZ
ENST00000368864	6	110989060	110989062	RPF2
ENST00000368865	10	123163833	123163835	BUB3
ENST00000368868	1	151364543	151364545	SELENBP1
ENST00000368869	10	123053763	123053765	ACADSB
ENST00000368870	1	151342186	151342188	RFX5
ENST00000368872	1	151292852	151292854	PI4KB
ENST00000368873	1	151292852	151292854	PI4KB
ENST00000368874	1	151292852	151292854	PI4KB
ENST00000368875	1	151292852	151292854	PI4KB
ENST00000368876	6	110893614	110893616	AMD1
ENST00000368877	6	110893614	110893616	AMD1
ENST00000368881	1	151267341	151267343	PSMD4
ENST00000368884	1	151267341	151267343	PSMD4
ENST00000368885	6	110893614	110893616	AMD1
ENST00000368886	10	122993780	122993782	IKZF5
ENST00000368887	10	122987501	122987503	PSTK
ENST00000368888	1	151247863	151247865	PIP5K1A
ENST00000368890	1	151247863	151247865	PIP5K1A
ENST00000368892	1	151176644	151176646	VPS72
ENST00000368894	10	122912952	122912954	FAM24A
ENST00000368896	10	122849247	122849249	FAM24B
ENST00000368898	10	122849247	122849249	FAM24B
ENST00000368900	10	122839155	122839157	CUZD1
ENST00000368901	10	122839155	122839157	CUZD1
ENST00000368902	1	151169083	151169085	SCNM1
ENST00000368904	10	122836329	122836331	NA
ENST00000368905	1	151169083	151169085	SCNM1
ENST00000368908	1	151160882	151160884	LYSMD1
ENST00000368910	1	151159250	151159252	TNFAIP8L2
ENST00000368911	6	110614535	110614537	CDK19
ENST00000368912	1	151132484	151132486	SEMA6C
ENST00000368913	1	151132484	151132486	SEMA6C
ENST00000368914	1	151132484	151132486	SEMA6C
ENST00000368916	1	151118254	151118256	GABPB2
ENST00000368918	1	151118254	151118256	GABPB2
ENST00000368919	6	110424873	110424875	SLC22A16
ENST00000368921	1	151067495	151067497	MLLT11
ENST00000368923	6	110392775	110392777	DDO
ENST00000368924	6	110392775	110392777	DDO
ENST00000368926	1	151050456	151050458	C1orf56
ENST00000368930	6	110253940	110253942	CDC40
ENST00000368931	1	151046685	151046687	BNIPL
ENST00000368932	6	110230129	110230131	CDC40
ENST00000368934	1	151034232	151034234	PRUNE1
ENST00000368935	1	151034232	151034234	PRUNE1
ENST00000368936	1	151034232	151034234	PRUNE1
ENST00000368937	1	151034232	151034234	PRUNE1
ENST00000368941	6	109743112	109743114	FIG4
ENST00000368947	1	150995320	150995322	ANXA9
ENST00000368948	6	109579530	109579532	AK9
ENST00000368954	1	150966148	150966150	CERS2
ENST00000368962	1	150945160	150945162	SETDB1
ENST00000368963	1	150944918	150944920	SETDB1
ENST00000368964	1	150930071	150930073	SETDB1
ENST00000368968	6	109162749	109162749	CEP57L1
ENST00000368968	6	109160729	109160730	CEP57L1
ENST00000368969	1	150964362	150964364	SETDB1
ENST00000368970	6	109162968	109162970	CEP57L1
ENST00000368977	6	108522423	108522425	AFG1L
ENST00000368979	6	108222237	108222239	SNX3
ENST00000368983	6	108187461	108187463	NR2E1
ENST00000368984	10	122514357	122514359	HTRA1
ENST00000368985	1	150733046	150733048	CTSS
ENST00000368986	6	108187461	108187463	NR2E1
ENST00000368989	10	122429832	122429834	PLEKHA1
ENST00000368990	10	122429936	122429938	PLEKHA1
ENST00000368995	1	150698654	150698656	HORMAD1
ENST00000368999	10	122254054	122254056	TACC2
ENST00000369000	10	122254054	122254056	TACC2
ENST00000369001	10	122254054	122254056	TACC2
ENST00000369002	6	107871704	107871706	SEC63
ENST00000369004	10	122254054	122254056	TACC2
ENST00000369005	10	122254054	122254056	TACC2
ENST00000369014	1	150622844	150622846	ENSA
ENST00000369016	1	150601114	150601116	ENSA
ENST00000369017	10	121962001	121962003	NSMCE4A
ENST00000369020	6	107705200	107705202	SCML4
ENST00000369022	6	107705200	107705202	SCML4
ENST00000369023	10	121959336	121959338	NSMCE4A
ENST00000369025	6	107705200	107705202	SCML4
ENST00000369026	1	150577375	150577377	MCL1
ENST00000369031	6	107264420	107264422	PDSS2
ENST00000369037	6	107154619	107154621	PDSS2
ENST00000369038	1	150560194	150560196	ADAMTSL4
ENST00000369039	1	150560194	150560196	ADAMTSL4
ENST00000369040	10	121743680	121743682	ATE1
ENST00000369041	1	150558722	150558724	ADAMTSL4
ENST00000369042	6	107068704	107068706	BEND3
ENST00000369043	10	121743680	121743682	ATE1
ENST00000369044	6	106652691	106652693	QRSL1
ENST00000369046	6	106666000	106666002	QRSL1
ENST00000369047	1	150513465	150513467	ECM1
ENST00000369049	1	150513465	150513467	ECM1
ENST00000369051	1	150492476	150492478	TARS2
ENST00000369054	1	150507062	150507064	TARS2
ENST00000369056	10	121482172	121482174	FGFR2
ENST00000369059	10	121479857	121479859	FGFR2
ENST00000369060	10	121479857	121479859	FGFR2
ENST00000369061	10	121479857	121479859	FGFR2
ENST00000369063	6	106571996	106571998	RTN4IP1
ENST00000369064	1	150507062	150507064	TARS2
ENST00000369067	1	150441044	150441046	RPRD2
ENST00000369068	1	150473332	150473334	RPRD2
ENST00000369070	6	106293080	106293082	ATG5
ENST00000369075	10	119933765	119933767	SEC23IP
ENST00000369076	6	106186540	106186542	ATG5
ENST00000369077	10	119831474	119831476	MCMBP
ENST00000369081	10	119792082	119792084	INPP5F
ENST00000369085	10	119677280	119677282	BAG3
ENST00000369086	10	119581918	119581920	TIAL1
ENST00000369089	6	106107484	106107486	PRDM1
ENST00000369091	6	106107484	106107486	PRDM1
ENST00000369091	6	106107484	106107486	PRDM1
ENST00000369093	10	119575665	119575667	TIAL1
ENST00000369094	1	150286952	150286954	CIART
ENST00000369095	1	150286952	150286954	CIART
ENST00000369096	6	106107484	106107486	PRDM1
ENST00000369098	1	150280898	150280900	C1orf54
ENST00000369099	1	150279736	150279738	C1orf54
ENST00000369101	10	119500113	119500115	RGS10
ENST00000369102	1	150279736	150279738	C1orf54
ENST00000369103	10	119500113	119500115	RGS10
ENST00000369109	1	150266130	150266132	APH1A
ENST00000369110	6	105278144	105278146	PREP
ENST00000369111	1	150264657	150264659	CA14
ENST00000369114	1	150220691	150220693	ANP32E
ENST00000369115	1	150220691	150220693	ANP32E
ENST00000369124	1	150159521	150159523	PLEKHO1
ENST00000369125	6	104729662	104729664	HACE1
ENST00000369126	1	150159521	150159523	PLEKHO1
ENST00000369128	1	150144919	150144921	VPS45
ENST00000369134	6	102068509	102068511	GRIK2
ENST00000369137	6	101496074	101496076	GRIK2
ENST00000369138	6	102065911	102065913	GRIK2
ENST00000369140	1	149928867	149928869	MTMR11
ENST00000369143	6	100859108	100859110	ASCC3
ENST00000369144	10	119036039	119036041	EIF3A
ENST00000369145	1	149905876	149905878	SV2A
ENST00000369146	1	149905014	149905016	SV2A
ENST00000369150	1	149900471	149900473	BOLA1
ENST00000369151	10	118686128	118686130	CACUL1
ENST00000369152	1	149900471	149900473	BOLA1
ENST00000369153	1	149900471	149900473	BOLA1
ENST00000369153	1	149900471	149900473	BOLA1
ENST00000369153	1	149900471	149900473	BOLA1
ENST00000369155	1	149886260	149886262	H2BC21
ENST00000369158	1	149840747	149840749	H3C14
ENST00000369158	1	149840747	149840749	H3C14
ENST00000369158	1	149840747	149840749	H3C14
ENST00000369159	1	149842306	149842308	H2AC18
ENST00000369162	6	100509386	100509388	ASCC3
ENST00000369163	6	27810482	27810484	H3C10
ENST00000369167	1	149811943	149811945	H2BC18
ENST00000369168	1	149791515	149791517	FCGR1A
ENST00000369172	10	118310857	118310859	FAM204A
ENST00000369175	1	143956427	143956429	FAM72C
ENST00000369183	10	118310857	118310859	FAM204A
ENST00000369199	10	118008998	118009000	RAB11FIP2
ENST00000369206	10	117134008	117134010	VAX1
ENST00000369207	10	116911570	116911572	ENO4
ENST00000369208	6	100390361	100390363	SIM1
ENST00000369209	10	116674781	116674783	HSPA12A
ENST00000369210	10	116664170	116664172	C10orf82
ENST00000369212	6	99920940	99920942	MCHR2
ENST00000369214	6	99609246	99609248	PRDM13
ENST00000369215	6	99614757	99614759	PRDM13
ENST00000369220	6	99543555	99543557	CCNC
ENST00000369221	10	116567796	116567798	PNLIP
ENST00000369230	10	116477151	116477153	PNLIPRP3
ENST00000369233	6	99435716	99435718	USP45
ENST00000369235	1	147909255	147909257	GJA8
ENST00000369236	10	116064398	116064400	GFRA1
ENST00000369239	6	99400540	99400542	PNISR
ENST00000369240	6	99369600	99369602	COQ3
ENST00000369244	6	98874278	98874280	FBXL4
ENST00000369246	10	114833412	114833414	FHIP2A
ENST00000369248	10	114861538	114861540	FHIP2A
ENST00000369250	10	114899512	114899514	FHIP2A
ENST00000369251	6	97146806	97146808	MMS22L
ENST00000369253	10	114436260	114436262	ABLIM1
ENST00000369254	6	97127410	97127412	KLHL32
ENST00000369256	10	114436260	114436262	ABLIM1
ENST00000369258	1	147295507	147295509	CHD1L
ENST00000369259	1	147295507	147295509	CHD1L
ENST00000369261	6	97139280	97139282	KLHL32
ENST00000369271	10	114296042	114296044	AFAP1L2
ENST00000369272	1	147190222	147190224	FMO5
ENST00000369278	6	96553501	96553503	UFL1
ENST00000369280	10	114228128	114228130	TDRD1
ENST00000369282	10	114231515	114231517	TDRD1
ENST00000369285	10	114162633	114162635	CCDC186
ENST00000369286	10	114162633	114162635	CCDC186
ENST00000369287	10	114125143	114125145	CCDC186
ENST00000369288	1	145738491	145738493	CD160
ENST00000369293	6	95587034	95587036	MANEA
ENST00000369294	1	145842351	145842353	POLR3C
ENST00000369295	10	114045564	114045566	ADRB1
ENST00000369297	6	93410493	93410495	EPHA7
ENST00000369298	1	145849446	145849448	PIAS3
ENST00000369301	10	113908534	113908536	NHLRC2
ENST00000369303	6	93243426	93243428	EPHA7
ENST00000369304	1	145892798	145892800	ITGA10
ENST00000369305	10	113835152	113835154	DCLRE1A
ENST00000369306	1	145912161	145912163	PEX11B
ENST00000369307	1	145925882	145925884	RBM8A
ENST00000369310	10	113777638	113777640	PLEKHS1
ENST00000369312	10	113780779	113780781	PLEKHS1
ENST00000369313	1	145978445	145978447	POLR3GL
ENST00000369314	1	145978445	145978447	POLR3GL
ENST00000369315	10	113729538	113729540	CASP7
ENST00000369318	10	113729538	113729540	CASP7
ENST00000369325	6	90516649	90516651	MAP3K7
ENST00000369327	6	90516649	90516651	MAP3K7
ENST00000369329	6	90516501	90516503	MAP3K7
ENST00000369331	10	113729422	113729424	CASP7
ENST00000369332	6	90516501	90516503	MAP3K7
ENST00000369347	1	148932290	148932292	PDE4DIP
ENST00000369349	1	148992258	148992260	PDE4DIP
ENST00000369351	1	148992034	148992036	PDE4DIP
ENST00000369352	6	89896098	89896100	GJA10
ENST00000369354	1	149031983	149031985	PDE4DIP
ENST00000369356	1	149032087	149032089	PDE4DIP
ENST00000369360	10	113588975	113588977	NRAP
ENST00000369367	12	45922048	45922050	SCAF11
ENST00000369373	1	145291526	145291528	NBPF20
ENST00000369386	10	113160659	113160661	TCF7L2
ENST00000369389	10	113161583	113161585	TCF7L2
ENST00000369390	1	121168741	121168743	FAM72B
ENST00000369393	6	89644005	89644007	MDN1
ENST00000369395	10	113161583	113161585	TCF7L2
ENST00000369397	10	113165970	113165972	TCF7L2
ENST00000369400	1	119893964	119893966	ADAM30
ENST00000369401	1	119802828	119802830	REG4
ENST00000369404	10	112430804	112430806	ZDHHC6
ENST00000369405	10	112430804	112430806	ZDHHC6
ENST00000369406	1	119750802	119750804	HMGCS2
ENST00000369408	6	89631002	89631004	ANKRD6
ENST00000369409	1	119744016	119744018	PHGDH
ENST00000369413	1	119514643	119514645	HSD3B1
ENST00000369415	6	89368056	89368058	RRAGD
ENST00000369416	1	119422618	119422620	HSD3B2
ENST00000369423	X	156009850	156009852	IL9R
ENST00000369425	10	112157237	112157239	GPAM
ENST00000369426	1	119033360	119033362	WARS2
ENST00000369429	1	118884732	118884734	TBX15
ENST00000369439	X	155492565	155492567	TMLHE
ENST00000369442	1	117877964	117877966	GDAP2
ENST00000369443	1	117870569	117870571	GDAP2
ENST00000369448	1	117624042	117624044	TENT5C
ENST00000369449	X	155277903	155277905	CLIC2
ENST00000369451	6	89178770	89178772	GABRR1
ENST00000369452	10	111011816	111011818	SHOC2
ENST00000369454	X	155260803	155260805	RAB39B
ENST00000369458	1	117147658	117147660	VTCN1
ENST00000369459	X	155120148	155120150	BRCC3
ENST00000369461	1	117112305	117112307	TRIM45
ENST00000369462	X	155120148	155120150	BRCC3
ENST00000369464	1	117112305	117112307	TRIM45
ENST00000369466	1	117101522	117101524	TTF2
ENST00000369470	1	117034099	117034101	CD101
ENST00000369472	6	89084194	89084196	PNRC1
ENST00000369476	X	155065490	155065492	MTCP1
ENST00000369477	1	116754969	116754971	CD2
ENST00000369478	1	116768781	116768783	CD2
ENST00000369479	X	155061843	155061845	CMC4
ENST00000369484	X	155061843	155061845	CMC4
ENST00000369485	6	88612719	88612721	RNGTT
ENST00000369486	1	116577312	116577314	IGSF3
ENST00000369487	1	116521889	116521891	CD58
ENST00000369489	1	116514813	116514815	CD58
ENST00000369498	X	155054670	155054672	FUNDC2
ENST00000369499	6	88143856	88143858	CNR1
ENST00000369500	1	116133363	116133365	MAB21L3
ENST00000369501	6	88143856	88143858	CNR1
ENST00000369502	1	116031410	116031412	SLC22A15
ENST00000369503	1	116067106	116067108	SLC22A15
ENST00000369505	X	155383228	155383230	F8A2
ENST00000369506	1	115837965	115837967	NHLH2
ENST00000369509	1	115691377	115691379	VANGL1
ENST00000369510	1	115691377	115691379	VANGL1
ENST00000369512	1	115286070	115286072	NGF
ENST00000369515	1	115050490	115050492	TSPAN2
ENST00000369516	1	115050490	115050492	TSPAN2
ENST00000369518	1	114995017	114995019	SYCP1
ENST00000369519	10	110835976	110835978	RBM20
ENST00000369522	1	114995017	114995019	SYCP1
ENST00000369528	1	114774271	114774273	SIKE1
ENST00000369529	X	154823755	154823757	SMIM9
ENST00000369530	1	114718169	114718171	CSDE1
ENST00000369534	X	154779177	154779179	MPP1
ENST00000369535	1	114708535	114708537	NRAS
ENST00000369536	6	87514413	87514415	RARS2
ENST00000369538	1	114673114	114673116	AMPD1
ENST00000369541	1	114568130	114568132	BCAS2
ENST00000369543	1	114397648	114397650	TRIM33
ENST00000369547	1	114092011	114092013	SYT6
ENST00000369550	X	154776865	154776867	DKC1
ENST00000369551	1	113981767	113981769	OLFML3
ENST00000369552	6	87511524	87511526	SLC35A1
ENST00000369553	1	113973510	113973512	HIPK1
ENST00000369555	1	113973510	113973512	HIPK1
ENST00000369558	1	113973510	113973512	HIPK1
ENST00000369559	1	113972036	113972038	HIPK1
ENST00000369561	1	113973510	113973512	HIPK1
ENST00000369562	6	87464248	87464250	CFAP206
ENST00000369567	1	113895065	113895067	AP4B1
ENST00000369568	X	154678178	154678180	GAB3
ENST00000369569	1	113895065	113895067	AP4B1
ENST00000369575	X	154678178	154678180	GAB3
ENST00000369577	6	87261799	87261801	ZNF292
ENST00000369582	6	87085756	87085758	CGA
ENST00000369583	10	110510424	110510426	DUSP5
ENST00000369585	X	154652129	154652131	CTAG2
ENST00000369592	10	110294150	110294152	SMNDC1
ENST00000369598	1	113697705	113697707	PHTF1
ENST00000369600	1	113697705	113697707	PHTF1
ENST00000369603	10	110294150	110294152	SMNDC1
ENST00000369604	1	113697705	113697707	PHTF1
ENST00000369611	1	113682259	113682261	MAGI3
ENST00000369612	10	110284985	110284987	MXI1
ENST00000369615	1	113682259	113682261	MAGI3
ENST00000369617	1	113682259	113682261	MAGI3
ENST00000369622	6	85614756	85614758	SYNCRIP
ENST00000369626	1	112913891	112913893	SLC16A1
ENST00000369627	6	85505967	85505969	SNX14
ENST00000369630	1	112726678	112726680	TAFA3
ENST00000369632	1	112701540	112701542	RHOC
ENST00000369632	1	112701540	112701542	RHOC
ENST00000369632	1	112701540	112701542	RHOC
ENST00000369635	6	85543751	85543753	SNX14
ENST00000369636	1	112701461	112701463	RHOC
ENST00000369637	1	112701540	112701542	RHOC
ENST00000369638	1	112701540	112701542	RHOC
ENST00000369641	X	154506811	154506813	FAM3A
ENST00000369642	1	112701540	112701542	RHOC
ENST00000369643	X	154506811	154506813	FAM3A
ENST00000369644	1	112700505	112700507	MOV10
ENST00000369645	1	112700505	112700507	MOV10
ENST00000369646	6	85471467	85471469	NT5E
ENST00000369649	X	154487507	154487509	SLC10A3
ENST00000369653	X	154485330	154485332	UBL4A
ENST00000369660	X	154485539	154485541	UBL4A
ENST00000369663	6	84736685	84736687	TBX18
ENST00000369666	1	112541912	112541914	ST7L
ENST00000369669	1	112526013	112526015	ST7L
ENST00000369679	6	83910085	83910087	CYB5R4
ENST00000369681	6	83959876	83959878	CYB5R4
ENST00000369682	X	154472683	154472685	PLXNA3
ENST00000369683	10	109865184	109865186	XPNPEP1
ENST00000369684	1	112520507	112520509	WNT2B
ENST00000369686	1	112520507	112520509	WNT2B
ENST00000369687	6	83857387	83857389	RIPPLY2
ENST00000369689	6	83857387	83857389	RIPPLY2
ENST00000369694	6	83556153	83556155	SNAP91
ENST00000369697	1	111776077	111776079	KCND3
ENST00000369698	10	106577548	106577550	SORCS1
ENST00000369700	6	83524681	83524683	PRSS35
ENST00000369701	10	105263372	105263374	SORCS3
ENST00000369702	1	111766897	111766899	DDX20
ENST00000369703	10	104382171	104382173	CFAP58
ENST00000369704	10	104454528	104454530	CFAP58
ENST00000369705	6	83211924	83211926	ME1
ENST00000369707	10	104299282	104299284	GSTO2
ENST00000369709	1	111709233	111709235	RAP1A
ENST00000369713	10	104267403	104267405	GSTO1
ENST00000369716	1	111483687	111483689	TMIGD3
ENST00000369717	1	111483687	111483689	TMIGD3
ENST00000369718	1	111478121	111478123	C1orf162
ENST00000369719	10	104203648	104203650	CFAP43
ENST00000369720	10	104193862	104193864	CFAP43
ENST00000369722	1	111460992	111460994	ATP5PB
ENST00000369724	6	83196270	83196272	RWDD2A
ENST00000369727	10	104125702	104125704	SFR1
ENST00000369729	10	104125702	104125704	SFR1
ENST00000369732	1	111414464	111414466	OVGP1
ENST00000369733	10	104032235	104032237	COL17A1
ENST00000369737	1	111351325	111351327	PIFO
ENST00000369738	1	111351325	111351327	PIFO
ENST00000369739	6	83168165	83168167	DOP1A
ENST00000369740	1	111320464	111320466	CHIA
ENST00000369744	1	111242362	111242364	CHI3L2
ENST00000369746	6	83032297	83032299	UBE3D
ENST00000369747	6	82893022	82893024	UBE3D
ENST00000369748	1	111242362	111242364	CHI3L2
ENST00000369750	6	82366222	82366224	TPBG
ENST00000369752	1	111187605	111187607	DENND2D
ENST00000369754	6	81749695	81749697	TENT5A
ENST00000369755	10	104025718	104025720	SLK
ENST00000369756	6	81749695	81749697	TENT5A
ENST00000369758	20	64273598	64273600	PCMTD2
ENST00000369760	6	80169832	80169834	BCKDHB
ENST00000369762	X	154435889	154435891	ATP6AP1
ENST00000369763	1	110947959	110947961	LRIF1
ENST00000369764	10	103882684	103882686	STN1
ENST00000369768	20	64105830	64105832	NPBWR2
ENST00000369768	20	64105830	64105832	NPBWR2
ENST00000369769	1	110673082	110673084	KCNA3
ENST00000369770	1	110593893	110593895	KCNA2
ENST00000369771	1	110517252	110517254	KCNA10
ENST00000369771	1	110517252	110517254	KCNA10
ENST00000369771	1	110517252	110517254	KCNA10
ENST00000369774	10	103601816	103601818	SH3PXD2A
ENST00000369776	X	154421002	154421004	TAFAZZIN
ENST00000369779	1	110363766	110363768	SLC16A4
ENST00000369780	10	103590370	103590372	NEURL1
ENST00000369781	1	110363766	110363768	SLC16A4
ENST00000369783	10	103473213	103473215	CALHM3
ENST00000369784	1	110345607	110345609	RBM15
ENST00000369787	1	110232307	110232309	KCNC4
ENST00000369788	10	103447152	103447154	CALHM2
ENST00000369795	1	110053910	110053912	STRIP1
ENST00000369796	1	110053910	110053912	STRIP1
ENST00000369797	10	103445547	103445549	PDCD11
ENST00000369798	6	80042200	80042202	TTK
ENST00000369799	1	110021678	110021680	AHCYL1
ENST00000369800	5	172686923	172686925	NEURL1B
ENST00000369801	1	109925187	109925189	CSF1
ENST00000369801	1	109925187	109925189	CSF1
ENST00000369801	1	109925187	109925189	CSF1
ENST00000369802	1	109925187	109925189	CSF1
ENST00000369805	1	109750391	109750393	EPS8L3
ENST00000369807	X	154402707	154402709	DNASE1L1
ENST00000369808	X	154402707	154402709	DNASE1L1
ENST00000369811	10	103392194	103392196	ATP5MK
ENST00000369815	10	103392194	103392196	ATP5MK
ENST00000369816	6	79916608	79916610	ELOVL4
ENST00000369817	X	154400852	154400854	RPL10
ENST00000369819	1	109693293	109693295	GSTM1
ENST00000369823	1	109693293	109693295	GSTM1
ENST00000369825	10	103392194	103392196	ATP5MK
ENST00000369829	1	109673215	109673217	GSTM2
ENST00000369831	1	109708574	109708576	GSTM2
ENST00000369833	1	109659273	109659275	GSTM4
ENST00000369835	X	154381195	154381197	EMD
ENST00000369836	1	109661252	109661254	GSTM4
ENST00000369838	6	79699507	79699509	SH3BGRL2
ENST00000369839	10	103388221	103388223	TAF5
ENST00000369840	1	109631150	109631152	AMPD2
ENST00000369842	X	154381195	154381197	EMD
ENST00000369846	6	79487004	79487006	LCA5
ENST00000369847	10	103303905	103303907	PCGF6
ENST00000369849	10	103288667	103288669	INA
ENST00000369850	X	154348849	154348851	FLNA
ENST00000369851	1	109592231	109592233	GNAI3
ENST00000369856	X	154348849	154348851	FLNA
ENST00000369857	10	103100946	103100948	NT5C2
ENST00000369862	1	109507431	109507433	AMIGO1
ENST00000369864	1	109507431	109507433	AMIGO1
ENST00000369868	1	109496257	109496259	CYB561D1
ENST00000369870	1	109492598	109492600	ATXN7L2
ENST00000369872	1	109479546	109479548	SYPL2
ENST00000369875	10	102927380	102927382	CNNM2
ENST00000369878	10	103077178	103077180	CNNM2
ENST00000369880	10	102900698	102900700	AS3MT
ENST00000369883	10	102862922	102862924	BORCS7
ENST00000369886	20	63975510	63975512	SAMD10
ENST00000369887	10	102830702	102830704	CYP17A1
ENST00000369888	20	63959888	63959890	ZNF512B
ENST00000369889	10	102813329	102813331	WBP1L
ENST00000369893	10	102737760	102737762	SFXN2
ENST00000369899	10	102619069	102619071	SUFU
ENST00000369902	10	102630153	102630155	SUFU
ENST00000369903	1	109280153	109280155	PSRC1
ENST00000369904	1	109280121	109280123	PSRC1
ENST00000369905	10	102480863	102480865	ACTR1A
ENST00000369907	1	109280153	109280155	PSRC1
ENST00000369908	20	63939976	63939978	UCKL1
ENST00000369909	1	109280153	109280155	PSRC1
ENST00000369912	X	154329686	154329688	TKTL1
ENST00000369915	X	154329686	154329688	TKTL1
ENST00000369916	20	63862948	63862950	ABHD16B
ENST00000369923	1	109237886	109237888	SARS1
ENST00000369927	20	63889943	63889945	TPD52L2
ENST00000369929	X	154233178	154233180	OPN1MW2
ENST00000369937	10	102423426	102423428	CUEDC2
ENST00000369939	1	109203010	109203012	ELAPOR1
ENST00000369940	6	78898332	78898334	IRAK1BP1
ENST00000369945	1	109106028	109106030	CFAP276
ENST00000369947	6	77462231	77462233	HTR1B
ENST00000369948	1	109106028	109106030	CFAP276
ENST00000369949	1	109106028	109106030	CFAP276
ENST00000369950	6	75922089	75922091	IMPG1
ENST00000369951	X	154158924	154158926	OPN1LW
ENST00000369952	6	75922089	75922091	IMPG1
ENST00000369956	10	102422991	102422993	FBXL15
ENST00000369957	X	154058479	154058481	MECP2
ENST00000369962	1	108971430	108971432	WDR47
ENST00000369965	1	108971430	108971432	WDR47
ENST00000369966	10	102402374	102402376	NFKB2
ENST00000369967	20	63735917	63735919	ZGPAT
